Ship To Country,Item ID,Amount
ARG,No Item ID,260.0
ARG,JFT-14-F,199.95
ARG,850-523,34.95
ARG,850-537,34.95
ARG,claw 7,34.5
ARG,claw 8,34.5
ARG,854-203dsk-adpt,33.95
ARG,52-954,25.95
ARG,BB-SB-226-Option226,12.5
ARG,BB-SB-204-Option204,10.0
ARG,BB-SB-207-Option207,10.0
ARG,ABR INSURANCE,5.75
ARG,Handling and-or cod fee,5.68
ARG,sublined item,0.0
AUS,No Item ID,2399.69
AUS,GTT-BT-Mirage-Kit,1995.95
AUS,GTT-BT-Phantom-4S,1200.0
AUS,jc1420metal,720.0
AUS,purr-minor kit,600.0
AUS,RMSM,545.0
AUS,ggt-Rock-ItFP,440.0
AUS,BM-GB-FM-Set,240.0
AUS,GTT-BT-Bobcat,195.0
AUS,CreationStation,149.0
AUS,854-336,125.0
AUS,855-003s,119.5
AUS,Infini-V,100.0
AUS,Handling and-or cod fee,99.99
AUS,14205,75.0
AUS,BK66,75.0
AUS,MC511654,72.3
AUS,purr-glass pack,71.57
AUS,BK182,70.0
AUS,BK187,70.0
AUS,ABR INSURANCE,69.0
AUS,1556853,68.88
AUS,bunsenh-5600,68.0
AUS,ggt-ct,65.0
AUS,854-214,50.0
AUS,ggt-cricket-L,50.0
AUS,854-208,49.75
AUS,db-t-15,45.99
AUS,cshear8,45.0
AUS,330-8,39.5
AUS,db-t-10,38.99
AUS,1556227CSB,37.44
AUS,ggt-gjr-18w,35.0
AUS,db-t-5,32.99
AUS,3FBLK,30.0
AUS,854-419,29.9
AUS,rl-6219,21.76
AUS,rl-6221,20.72
AUS,547TWEEZERS,19.95
AUS,bk42,19.95
AUS,bunsenh-5805,17.0
AUS,SH-AG-A2,11.9
AUS,525SF,9.95
AUS,850-518,9.95
AUS,SE-DD315,9.95
AUS,1556419,7.76
AUS,1556260-BP,7.19
AUS,854-610,3.0
AUS,ABR Glass Cut,1.62
AUS,BS-BS-M-Phantom,0.0
AUS,sublined item,0.0
BEL,No Item ID,55.0
BEL,BB-ST-DavesBlues,35.31
BEL,BB-ST-KingCrimson,35.31
BEL,BB-ST-Peafowl-29,35.31
BEL,BB-ST-SpaceGrass,28.75
BEL,BB-ST-TangerineDream,22.17
BEL,TAG-033-R-O-001,22.03
BEL,BB-ST-GrapeApe,18.46
BEL,BB-ST-MuddyWaters,18.46
BEL,ABR INSURANCE,3.45
BEL,Handling and-or cod fee,2.85
BRB,No Item ID,304.0
BRB,schr10,107.25
BRB,246400160,61.93
BRB,sns63,37.0
BRB,sns65,37.0
BRB,sns85,37.0
BRB,NCPEACH,33.0
BRB,07630002-odds,25.0
BRB,07630035OC,25.0
BRB,ns144,24.66
BRB,ns65,24.66
BRB,ns13,23.58
BRB,ns45,20.88
BRB,sch10x1,19.83
BRB,07631008,19.25
BRB,ar-black,15.0
BRB,07630027,13.75
BRB,AR-GREEN,10.0
BRB,246480160,0.0
BRB,ns44,0.0
BRB,ns64,0.0
CAN,No Item ID,7559.91
CAN,GTT-BT-Mirage,3450.0
CAN,GTT-BT-Phantom-4S,2400.0
CAN,SC3BDW,2392.44
CAN,F-130Elite,1864.93
CAN,GTT-BT-Lynx,1740.0
CAN,854-220K,1396.5
CAN,GTT-BT-Phantom-4S-SN,1200.0
