Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Southern Severe Storms and Flooding ,Flooding,1980-04-10,1980-04-17,2487.8,7
Hurricane Allen ,Tropical Cyclone,1980-08-07,1980-08-11,2076.8,13
Central/Eastern Drought/Heatwave ,Drought,1980-06-01,1980-11-30,35270.4,1260
Florida Freeze ,Freeze,1981-01-12,1981-01-14,1796.1,0
"Severe Storms, Flash Floods, Hail, Tornadoes ",Severe Storm,1981-05-05,1981-05-10,1260.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave ",Winter Storm,1982-01-08,1982-01-16,1920.2,85
Midwest/Plains/Southeast Tornadoes ,Severe Storm,1982-04-02,1982-04-04,1401.8,33
Severe Storms ,Severe Storm,1982-05-31,1982-06-10,1391.8,30
Gulf States Storms and Flooding ,Flooding,1982-12-01,1983-01-15,4454.6,45
Western Storms and Flooding ,Flooding,1982-12-13,1983-03-31,4348.9,50
Hurricane Alicia ,Tropical Cyclone,1983-08-17,1983-08-20,8400.0,21
Southeast Drought ,Drought,1983-06-01,1983-08-31,8299.4,0
Freeze / Coldwave ,Freeze,1983-12-15,1983-12-25,5616.2,151
"Tornadoes, Severe Storms, Floods ",Severe Storm,1984-03-27,1984-04-07,1616.2,80
Severe Storms and Hail ,Severe Storm,1984-06-13,1984-06-17,1195.8,1
Florida Freeze ,Freeze,1985-01-20,1985-01-22,3108.0,0
"Winter Storm, Cold Wave ",Winter Storm,1985-01-19,1985-01-22,2168.0,150
Hurricane Elena ,Tropical Cyclone,1985-08-30,1985-09-03,3360.3,4
Hurricane Gloria ,Tropical Cyclone,1985-09-26,1985-09-28,2217.2,11
Hurricane Juan ,Tropical Cyclone,1985-10-27,1985-10-31,3876.5,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding ",Flooding,1985-11-03,1985-11-08,3514.0,62
Western Severe Storms and Flooding ,Severe Storm,1986-02-14,1986-02-16,1324.6,13
Southeast Drought/Heatwave ,Drought,1986-06-01,1986-08-31,4509.1,100
U.S. Drought/Heatwave ,Drought,1988-06-01,1988-08-31,47209.2,454
Severe Storms ,Severe Storm,1989-05-01,1989-05-06,1246.4,21
Hurricane Hugo ,Tropical Cyclone,1989-09-21,1989-09-22,20339.8,86
Northern Plains Drought ,Drought,1989-06-01,1989-11-30,6787.1,0
Florida Freeze ,Freeze,1989-12-23,1989-12-25,4520.0,10
"Winter Storm, Cold Wave ",Winter Storm,1989-12-21,1989-12-26,1537.2,100
Southern Flooding ,Flooding,1990-05-11,1990-05-19,2164.9,13
Colorado Hail Storm ,Severe Storm,1990-07-11,1990-07-11,1763.1,0
California Freeze ,Freeze,1990-12-18,1990-12-25,7310.0,0
"Severe Storms, Tornadoes ",Severe Storm,1991-03-26,1991-03-29,1309.6,0
Hurricane Bob ,Tropical Cyclone,1991-08-18,1991-08-20,3050.9,18
U.S. Drought ,Drought,1991-03-01,1991-08-31,6107.4,0
Oakland Firestorm ,Wildfire,1991-10-01,1991-10-31,6699.0,25
Severe Storms ,Severe Storm,1992-03-24,1992-03-25,1592.5,0
"Hail, Tornadoes ",Severe Storm,1992-04-28,1992-04-29,1889.7,0
"Severe Storms, Hail ",Severe Storm,1992-06-19,1992-06-20,1481.1,0
Hurricane Andrew ,Tropical Cyclone,1992-08-23,1992-08-27,53460.0,61
Hurricane Iniki ,Tropical Cyclone,1992-09-11,1992-09-12,6138.0,7
Southeast Severe Weather ,Severe Storm,1992-11-21,1992-11-23,1300.9,26
Northeast Winter Storm ,Winter Storm,1992-12-10,1992-12-13,4916.3,19
East Coast Blizzard and Severe Weather ,Winter Storm,1993-03-11,1993-03-14,10611.8,270
Northern Plains and Ohio Valley Severe Weather ,Severe Storm,1993-07-08,1993-07-10,1217.2,1
Midwest Flooding ,Flooding,1993-06-27,1993-08-15,40244.9,48
Southeast Drought and Heat Wave ,Drought,1993-06-01,1993-08-31,2415.2,16
California Wildfires ,Wildfire,1993-09-01,1993-11-30,2633.3,4
"Winter Storm, Cold Wave ",Winter Storm,1994-01-17,1994-01-20,1944.6,70
Southeast Ice Storm ,Winter Storm,1994-02-08,1994-02-13,5605.2,9
Midwest/Plains Tornadoes ,Severe Storm,1994-04-25,1994-04-27,1842.1,3
Tropical Storm Alberto ,Tropical Cyclone,1994-07-07,1994-07-10,1867.2,32
Texas Flooding ,Flooding,1994-10-16,1994-10-25,1870.0,19
Western Fire Season ,Wildfire,1994-06-01,1994-11-30,1355.9,0
California Flooding ,Flooding,1995-01-01,1995-03-31,4550.0,27
South Plains Severe Weather ,Severe Storm,1995-05-05,1995-05-07,9985.4,32
Hurricane Erin ,Tropical Cyclone,1995-08-01,1995-08-07,1547.0,6
Hurricane Marilyn ,Tropical Cyclone,1995-09-15,1995-09-17,3822.0,13
"Central, Southern and Northeast Drought/Heatwave ",Drought,1995-07-01,1995-09-30,1761.8,872
Hurricane Opal ,Tropical Cyclone,1995-10-04,1995-10-06,8534.0,27
Blizzard/Floods ,Winter Storm,1996-01-01,1996-01-31,5315.2,187
